Location,Labels
/ECG Dataset/ECG/Train/SR/236.png,0
/ECG Dataset/ECG/Train/SR/237.png,0
/ECG Dataset/ECG/Train/SR/238.png,0
/ECG Dataset/ECG/Train/SR/239.png,0
/ECG Dataset/ECG/Test/AF/240.png,1
/ECG Dataset/ECG/Train/SR/241.png,0
/ECG Dataset/ECG/Train/SR/242.png,0
/ECG Dataset/ECG/Train/AF/243.png,1
/ECG Dataset/ECG/Train/AF/244.png,1
/ECG Dataset/ECG/Test/SR/245.png,0
/ECG Dataset/ECG/Train/SR/246.png,0
/ECG Dataset/ECG/Train/SR/247.png,0
/ECG Dataset/ECG/Train/AF/248.png,1
/ECG Dataset/ECG/Train/SR/249.png,0
/ECG Dataset/ECG/Test/AF/250.png,1
/ECG Dataset/ECG/Train/AF/251.png,1
/ECG Dataset/ECG/Train/SR/252.png,0
/ECG Dataset/ECG/Train/AF/253.png,1
/ECG Dataset/ECG/Train/AF/254.png,1
/ECG Dataset/ECG/Test/AF/255.png,1
/ECG Dataset/ECG/Train/SR/256.png,0
/ECG Dataset/ECG/Train/AF/257.png,1
/ECG Dataset/ECG/Train/SR/258.png,0
/ECG Dataset/ECG/Train/AF/259.png,1
/ECG Dataset/ECG/Test/SR/260.png,0
/ECG Dataset/ECG/Train/SR/261.png,0
/ECG Dataset/ECG/Train/AF/262.png,1
/ECG Dataset/ECG/Train/SR/263.png,0
/ECG Dataset/ECG/Train/AF/264.png,1
/ECG Dataset/ECG/Test/SR/265.png,0
/ECG Dataset/ECG/Train/SR/266.png,0
/ECG Dataset/ECG/Train/AF/267.png,1
/ECG Dataset/ECG/Train/SR/268.png,0
/ECG Dataset/ECG/Train/AF/269.png,1
/ECG Dataset/ECG/Test/AF/270.png,1
/ECG Dataset/ECG/Train/SR/271.png,0
/ECG Dataset/ECG/Train/AF/272.png,1
/ECG Dataset/ECG/Train/AF/273.png,1
/ECG Dataset/ECG/Train/SR/274.png,0
/ECG Dataset/ECG/Test/AF/275.png,1
/ECG Dataset/ECG/Train/SR/276.png,0
/ECG Dataset/ECG/Train/SR/277.png,0
/ECG Dataset/ECG/Train/SR/278.png,0
/ECG Dataset/ECG/Train/AF/279.png,1
/ECG Dataset/ECG/Test/SR/280.png,0
/ECG Dataset/ECG/Train/SR/281.png,0
/ECG Dataset/ECG/Train/SR/282.png,0
/ECG Dataset/ECG/Train/SR/283.png,0
/ECG Dataset/ECG/Train/SR/284.png,0
/ECG Dataset/ECG/Test/AF/285.png,1
/ECG Dataset/ECG/Train/AF/286.png,1
/ECG Dataset/ECG/Train/AF/287.png,1
/ECG Dataset/ECG/Train/SR/288.png,0
/ECG Dataset/ECG/Train/AF/289.png,1
/ECG Dataset/ECG/Test/AF/290.png,1
/ECG Dataset/ECG/Train/SR/291.png,0
/ECG Dataset/ECG/Train/SR/292.png,0
/ECG Dataset/ECG/Train/SR/293.png,0
/ECG Dataset/ECG/Train/SR/294.png,0
/ECG Dataset/ECG/Test/SR/295.png,0
/ECG Dataset/ECG/Train/SR/296.png,0
/ECG Dataset/ECG/Train/AF/297.png,1
/ECG Dataset/ECG/Train/SR/298.png,0
/ECG Dataset/ECG/Train/SR/299.png,0
/ECG Dataset/ECG/Test/SR/300.png,0
/ECG Dataset/ECG/Train/AF/301.png,1
/ECG Dataset/ECG/Train/SR/302.png,0
/ECG Dataset/ECG/Train/SR/303.png,0
/ECG Dataset/ECG/Train/SR/304.png,0
/ECG Dataset/ECG/Test/AF/305.png,1
/ECG Dataset/ECG/Train/AF/306.png,1
/ECG Dataset/ECG/Train/AF/307.png,1
/ECG Dataset/ECG/Train/SR/308.png,0
/ECG Dataset/ECG/Train/SR/309.png,0
/ECG Dataset/ECG/Test/SR/310.png,0
/ECG Dataset/ECG/Train/AF/311.png,1
/ECG Dataset/ECG/Train/SR/312.png,0
/ECG Dataset/ECG/Train/SR/313.png,0
/ECG Dataset/ECG/Train/SR/314.png,0
/ECG Dataset/ECG/Test/AF/315.png,1
/ECG Dataset/ECG/Train/AF/316.png,1
/ECG Dataset/ECG/Train/SR/317.png,0
/ECG Dataset/ECG/Train/AF/318.png,1
/ECG Dataset/ECG/Train/SR/319.png,0
/ECG Dataset/ECG/Test/AF/320.png,1
/ECG Dataset/ECG/Train/SR/321.png,0
/ECG Dataset/ECG/Train/SR/322.png,0
/ECG Dataset/ECG/Train/AF/323.png,1
/ECG Dataset/ECG/Train/AF/324.png,1
/ECG Dataset/ECG/Test/AF/325.png,1
/ECG Dataset/ECG/Train/AF/326.png,1
/ECG Dataset/ECG/Train/SR/327.png,0
/ECG Dataset/ECG/Train/AF/328.png,1
/ECG Dataset/ECG/Train/AF/329.png,1
/ECG Dataset/ECG/Test/AF/330.png,1
/ECG Dataset/ECG/Train/AF/331.png,1
/ECG Dataset/ECG/Train/AF/332.png,1
/ECG Dataset/ECG/Train/AF/333.png,1
/ECG Dataset/ECG/Train/AF/334.png,1
/ECG Dataset/ECG/Test/AF/335.png,1
/ECG Dataset/ECG/Train/AF/336.png,1
/ECG Dataset/ECG/Train/SR/337.png,0
/ECG Dataset/ECG/Train/AF/338.png,1
/ECG Dataset/ECG/Train/AF/339.png,1
/ECG Dataset/ECG/Test/SR/340.png,0
/ECG Dataset/ECG/Train/SR/341.png,0
/ECG Dataset/ECG/Train/AF/342.png,1
/ECG Dataset/ECG/Train/AF/343.png,1
/ECG Dataset/ECG/Train/SR/344.png,0
/ECG Dataset/ECG/Test/AF/345.png,1
/ECG Dataset/ECG/Train/SR/346.png,0
/ECG Dataset/ECG/Train/SR/347.png,0
/ECG Dataset/ECG/Train/SR/348.png,0
/ECG Dataset/ECG/Train/SR/349.png,0
/ECG Dataset/ECG/Test/SR/350.png,0
/ECG Dataset/ECG/Train/AF/351.png,1
/ECG Dataset/ECG/Train/AF/352.png,1
/ECG Dataset/ECG/Train/SR/353.png,0
/ECG Dataset/ECG/Train/AF/354.png,1
/ECG Dataset/ECG/Test/SR/355.png,0
/ECG Dataset/ECG/Train/SR/356.png,0
/ECG Dataset/ECG/Train/SR/357.png,0
/ECG Dataset/ECG/Train/AF/358.png,1
/ECG Dataset/ECG/Train/AF/359.png,1
/ECG Dataset/ECG/Test/SR/360.png,0
/ECG Dataset/ECG/Train/SR/361.png,0
/ECG Dataset/ECG/Train/SR/362.png,0
/ECG Dataset/ECG/Train/AF/363.png,1
/ECG Dataset/ECG/Train/AF/364.png,1
/ECG Dataset/ECG/Test/SR/365.png,0
/ECG Dataset/ECG/Train/SR/366.png,0
/ECG Dataset/ECG/Train/AF/367.png,1
/ECG Dataset/ECG/Train/AF/368.png,1
/ECG Dataset/ECG/Train/SR/369.png,0
/ECG Dataset/ECG/Test/AF/370.png,1
/ECG Dataset/ECG/Train/AF/371.png,1
/ECG Dataset/ECG/Train/SR/372.png,0
/ECG Dataset/ECG/Train/SR/373.png,0
/ECG Dataset/ECG/Train/AF/374.png,1
/ECG Dataset/ECG/Test/AF/375.png,1
/ECG Dataset/ECG/Train/SR/376.png,0
/ECG Dataset/ECG/Train/SR/377.png,0
/ECG Dataset/ECG/Train/AF/378.png,1
/ECG Dataset/ECG/Train/AF/379.png,1
/ECG Dataset/ECG/Test/SR/380.png,0
/ECG Dataset/ECG/Train/SR/381.png,0
/ECG Dataset/ECG/Train/AF/382.png,1
/ECG Dataset/ECG/Train/SR/383.png,0
/ECG Dataset/ECG/Train/AF/384.png,1
/ECG Dataset/ECG/Test/SR/385.png,0
/ECG Dataset/ECG/Train/SR/386.png,0
/ECG Dataset/ECG/Train/SR/387.png,0
/ECG Dataset/ECG/Train/AF/388.png,1
/ECG Dataset/ECG/Train/SR/389.png,0
/ECG Dataset/ECG/Test/SR/390.png,0
/ECG Dataset/ECG/Train/SR/391.png,0
/ECG Dataset/ECG/Train/SR/392.png,0
/ECG Dataset/ECG/Train/SR/393.png,0
/ECG Dataset/ECG/Train/SR/394.png,0
/ECG Dataset/ECG/Test/AF/395.png,1
/ECG Dataset/ECG/Train/AF/396.png,1
/ECG Dataset/ECG/Train/SR/397.png,0
/ECG Dataset/ECG/Train/SR/398.png,0
/ECG Dataset/ECG/Train/SR/399.png,0
/ECG Dataset/ECG/Test/SR/400.png,0
/ECG Dataset/ECG/Train/SR/401.png,0
/ECG Dataset/ECG/Train/SR/402.png,0
/ECG Dataset/ECG/Train/AF/403.png,1
/ECG Dataset/ECG/Train/AF/404.png,1
/ECG Dataset/ECG/Test/SR/405.png,0
/ECG Dataset/ECG/Train/AF/406.png,1
/ECG Dataset/ECG/Train/SR/407.png,0
/ECG Dataset/ECG/Train/SR/408.png,0
/ECG Dataset/ECG/Train/SR/409.png,0
/ECG Dataset/ECG/Test/AF/410.png,1
/ECG Dataset/ECG/Train/AF/411.png,1
/ECG Dataset/ECG/Train/SR/412.png,0
/ECG Dataset/ECG/Train/AF/413.png,1
/ECG Dataset/ECG/Train/AF/414.png,1
/ECG Dataset/ECG/Test/SR/415.png,0
/ECG Dataset/ECG/Train/AF/416.png,1
/ECG Dataset/ECG/Train/SR/417.png,0
/ECG Dataset/ECG/Train/SR/418.png,0
/ECG Dataset/ECG/Train/AF/419.png,1
/ECG Dataset/ECG/Test/AF/420.png,1
/ECG Dataset/ECG/Train/SR/421.png,0
/ECG Dataset/ECG/Train/AF/422.png,1
/ECG Dataset/ECG/Train/AF/423.png,1
/ECG Dataset/ECG/Train/AF/424.png,1
/ECG Dataset/ECG/Test/AF/425.png,1
/ECG Dataset/ECG/Train/AF/426.png,1
/ECG Dataset/ECG/Train/AF/427.png,1
/ECG Dataset/ECG/Train/SR/428.png,0
/ECG Dataset/ECG/Train/AF/429.png,1
/ECG Dataset/ECG/Test/SR/430.png,0
/ECG Dataset/ECG/Train/SR/431.png,0
/ECG Dataset/ECG/Train/AF/432.png,1
/ECG Dataset/ECG/Train/SR/433.png,0
/ECG Dataset/ECG/Train/AF/434.png,1
/ECG Dataset/ECG/Test/AF/435.png,1
/ECG Dataset/ECG/Train/AF/436.png,1
/ECG Dataset/ECG/Train/AF/437.png,1
/ECG Dataset/ECG/Train/SR/438.png,0
/ECG Dataset/ECG/Train/SR/439.png,0
/ECG Dataset/ECG/Test/AF/440.png,1
/ECG Dataset/ECG/Train/AF/441.png,1
/ECG Dataset/ECG/Train/AF/442.png,1
/ECG Dataset/ECG/Train/AF/443.png,1
/ECG Dataset/ECG/Train/SR/444.png,0
/ECG Dataset/ECG/Test/SR/445.png,0
/ECG Dataset/ECG/Train/AF/446.png,1
/ECG Dataset/ECG/Train/AF/447.png,1
/ECG Dataset/ECG/Train/SR/448.png,0
/ECG Dataset/ECG/Train/SR/449.png,0
/ECG Dataset/ECG/Test/SR/450.png,0
/ECG Dataset/ECG/Train/AF/451.png,1
/ECG Dataset/ECG/Train/AF/452.png,1
/ECG Dataset/ECG/Train/SR/453.png,0
/ECG Dataset/ECG/Train/AF/454.png,1
/ECG Dataset/ECG/Test/SR/455.png,0
/ECG Dataset/ECG/Train/SR/456.png,0
/ECG Dataset/ECG/Train/AF/457.png,1
/ECG Dataset/ECG/Train/AF/458.png,1
/ECG Dataset/ECG/Train/SR/459.png,0
/ECG Dataset/ECG/Test/AF/460.png,1
/ECG Dataset/ECG/Train/AF/461.png,1
/ECG Dataset/ECG/Train/AF/462.png,1
/ECG Dataset/ECG/Train/AF/463.png,1
/ECG Dataset/ECG/Train/AF/464.png,1
/ECG Dataset/ECG/Test/AF/465.png,1
/ECG Dataset/ECG/Train/AF/466.png,1
/ECG Dataset/ECG/Train/AF/467.png,1
/ECG Dataset/ECG/Train/SR/468.png,0
/ECG Dataset/ECG/Train/SR/469.png,0
/ECG Dataset/ECG/Test/SR/470.png,0
/ECG Dataset/ECG/Train/AF/471.png,1
/ECG Dataset/ECG/Train/SR/472.png,0
/ECG Dataset/ECG/Train/SR/473.png,0
/ECG Dataset/ECG/Train/AF/474.png,1
/ECG Dataset/ECG/Test/SR/475.png,0
/ECG Dataset/ECG/Train/SR/476.png,0
/ECG Dataset/ECG/Train/AF/477.png,1
/ECG Dataset/ECG/Train/AF/478.png,1
/ECG Dataset/ECG/Train/AF/479.png,1
/ECG Dataset/ECG/Test/SR/480.png,0
/ECG Dataset/ECG/Train/AF/481.png,1
/ECG Dataset/ECG/Train/SR/482.png,0
/ECG Dataset/ECG/Train/AF/483.png,1
/ECG Dataset/ECG/Train/AF/484.png,1
/ECG Dataset/ECG/Test/SR/485.png,0
/ECG Dataset/ECG/Train/SR/486.png,0
/ECG Dataset/ECG/Train/AF/487.png,1
/ECG Dataset/ECG/Train/SR/488.png,0
/ECG Dataset/ECG/Train/AF/489.png,1
/ECG Dataset/ECG/Test/SR/490.png,0
/ECG Dataset/ECG/Train/AF/491.png,1
/ECG Dataset/ECG/Train/SR/492.png,0
/ECG Dataset/ECG/Train/AF/493.png,1
/ECG Dataset/ECG/Train/SR/494.png,0
/ECG Dataset/ECG/Test/SR/495.png,0
/ECG Dataset/ECG/Train/SR/496.png,0
/ECG Dataset/ECG/Train/AF/497.png,1
/ECG Dataset/ECG/Train/SR/498.png,0
/ECG Dataset/ECG/Train/SR/499.png,0
/ECG Dataset/ECG/Test/SR/500.png,0
/ECG Dataset/ECG/Train/AF/501.png,1
/ECG Dataset/ECG/Train/AF/502.png,1
/ECG Dataset/ECG/Train/AF/503.png,1
/ECG Dataset/ECG/Train/SR/504.png,0
/ECG Dataset/ECG/Test/AF/505.png,1
/ECG Dataset/ECG/Train/SR/506.png,0
/ECG Dataset/ECG/Train/SR/507.png,0
/ECG Dataset/ECG/Train/AF/508.png,1
/ECG Dataset/ECG/Train/AF/509.png,1
/ECG Dataset/ECG/Test/SR/510.png,0
/ECG Dataset/ECG/Train/SR/511.png,0
/ECG Dataset/ECG/Train/SR/512.png,0
/ECG Dataset/ECG/Train/SR/513.png,0
/ECG Dataset/ECG/Train/AF/514.png,1
/ECG Dataset/ECG/Test/SR/515.png,0
/ECG Dataset/ECG/Train/SR/516.png,0
/ECG Dataset/ECG/Train/AF/517.png,1
/ECG Dataset/ECG/Train/SR/518.png,0
/ECG Dataset/ECG/Train/SR/519.png,0
/ECG Dataset/ECG/Test/SR/520.png,0
/ECG Dataset/ECG/Train/AF/521.png,1
/ECG Dataset/ECG/Train/AF/522.png,1
/ECG Dataset/ECG/Train/SR/523.png,0
/ECG Dataset/ECG/Train/AF/524.png,1
/ECG Dataset/ECG/Test/SR/525.png,0
/ECG Dataset/ECG/Train/AF/526.png,1
/ECG Dataset/ECG/Train/AF/527.png,1
/ECG Dataset/ECG/Train/AF/528.png,1
/ECG Dataset/ECG/Train/SR/529.png,0
/ECG Dataset/ECG/Test/SR/530.png,0
/ECG Dataset/ECG/Train/AF/531.png,1
/ECG Dataset/ECG/Train/AF/532.png,1
/ECG Dataset/ECG/Train/AF/533.png,1
/ECG Dataset/ECG/Train/SR/534.png,0
/ECG Dataset/ECG/Test/SR/535.png,0
/ECG Dataset/ECG/Train/AF/536.png,1
/ECG Dataset/ECG/Train/AF/537.png,1
/ECG Dataset/ECG/Train/SR/538.png,0
/ECG Dataset/ECG/Train/AF/539.png,1
/ECG Dataset/ECG/Test/SR/540.png,0
/ECG Dataset/ECG/Train/AF/541.png,1
/ECG Dataset/ECG/Train/AF/542.png,1
/ECG Dataset/ECG/Train/AF/543.png,1
/ECG Dataset/ECG/Train/SR/544.png,0
/ECG Dataset/ECG/Test/SR/545.png,0
/ECG Dataset/ECG/Train/AF/546.png,1
/ECG Dataset/ECG/Train/SR/547.png,0
/ECG Dataset/ECG/Train/SR/548.png,0
/ECG Dataset/ECG/Train/AF/549.png,1
/ECG Dataset/ECG/Test/SR/550.png,0
/ECG Dataset/ECG/Train/SR/551.png,0
/ECG Dataset/ECG/Train/SR/552.png,0
/ECG Dataset/ECG/Train/SR/553.png,0
/ECG Dataset/ECG/Train/AF/554.png,1
/ECG Dataset/ECG/Test/AF/555.png,1
/ECG Dataset/ECG/Train/AF/556.png,1
/ECG Dataset/ECG/Train/AF/557.png,1
/ECG Dataset/ECG/Train/SR/558.png,0
